id	geonames_id	name	latitude	longitude	population	feature_code
plc_01m0n2yy0fqhe7zdn01r7zjqj7	2643070	Marcham	51.66755	-1.34295	1740	PPL
plc_01m0n2yy0fqhe7zdn01w2hnex6	2643071	March	52.55131	0.08828	21051	PPL
plc_01m0n2yy0fqhe7zdn01zpeb1sk	2643076	Marazion	50.12556	-5.47505	1326	PPL
plc_01m0n2yy0fqhe7zdn022pm5dcg	2643088	Manuden	51.91891	0.1672	677	PPL
plc_01m0n2yy0fqhe7zdn022wgw3cy	2643095	Manston	50.95	-2.26667	5261	PPL
plc_01m0n2yy0fqhe7zdn026hrsbk8	2643096	Mansfield Woodhouse	53.16495	-1.19384	18330	PPL
plc_01m0n2yy0fqhe7zdn028a5mx26	2643097	Mansfield	53.13333	-1.2	171958	PPL
plc_01m0n2yy0fqhe7zdn02at01r2v	2643107	Manningtree	51.94538	1.06112	5696	PPL
plc_01m0n2yy0fqhe7zdn02dph3b8h	2643116	Mangotsfield	51.4878	-2.50403	36427	PPL
plc_01m0n2yy0fqhe7zdn02fmns7jf	2643121	Manea	52.48487	0.1793	2088	PPL
plc_01m0n2yy0fqhe7zdn02h673wjd	2643123	Manchester	53.48095	-2.23743	568996	PPLA2
plc_01m0n2yy0fqhe7zdn02hk6vv18	2643125	Manby	53.36291	0.09653	1479	PPL
plc_01m0n2yy0fqhe7zdn02mghpgh6	2643142	Malton	54.13695	-0.7996	5135	PPLA4
plc_01m0n2yy0fqhe7zdn02pzt3x88	2643144	Maltby	53.41667	-1.2	17513	PPLA3
plc_01m0n2yy0fqhe7zdn02qze93xm	2643145	Malpas	53.01667	-2.76667	1321	PPLA3
plc_01m0n2yy0fqhe7zdn02v87744f	2643146	Malmesbury	51.58175	-2.09708	6318	PPL
plc_01m0n2yy0fqhe7zdn02w09j942	2643156	Mallaig	57.00293	-5.83082	780	PPL
plc_01m0n2yy0fqhe7zdn02xf8wyp8	2643160	Maldon	51.7311	0.67463	23380	PPL
plc_01m0n2yy0fqhe7zdn031dx5nv5	2643164	Malborough	50.2432	-3.8114	819	PPL
plc_01m0n2yy0fqhe7zdn032kk4380	2643179	Maidstone	51.26667	0.51667	107627	PPLA2
plc_01m0n2yy0fqhe7zdn03367m8xa	2643183	Maidens	55.33333	-4.81667	530	PPL
plc_01m0n2yy0fqhe7zdn03704f8t0	2643185	Maiden Newton	50.77909	-2.57226	1268	PPL
plc_01m0n2yy0fqhe7zdn0382r9gcs	2643186	Maidenhead	51.52279	-0.71986	70374	PPLA2
plc_01m0n2yy0fqhe7zdn03a5g35nz	2643196	Magor	51.57944	-2.83139	5941	PPL
plc_01m0n2yy0fqhe7zdn03cm3b9kp	2643198	Maghull	53.51619	-2.94117	26997	PPL
plc_01m0n2yy0fqhe7zdn03eq36s7q	2643205	Magheralin	54.46695	-6.2598	1172	PPL
plc_01m0n2yy0fqhe7zdn03g7gr8n0	2643208	Magherafelt	54.75356	-6.60656	9157	PPLA2
plc_01m0n2yy0fqhe7zdn03m4xshaa	2643211	Maghera	54.8439	-6.67145	4085	PPL
plc_01m0n2yy0fqhe7zdn03qr7rbzf	2643218	Maesteg	51.60926	-3.65823	21001	PPL
plc_01m0n2yy0fqhe7zdn03rs0m2q9	2643227	Maenclochog	51.91183	-4.78754	731	PPL
plc_01m0n2yy0fqhe7zdn03ses7bhx	2643228	Madron	50.13266	-5.56484	626	PPL
plc_01m0n2yy0fqhe7zdn03xe8wed5	2643230	Madley	52.04555	-2.85091	712	PPLA4
plc_01m0n2yy0fqhe7zdn040n3z3qg	2643234	Madeley	53	-2.33333	3893	PPL
plc_01m0n2yy0fqhe7zdn0431nw3ra	2643247	Macmerry	55.94045	-2.90503	1350	PPL
plc_01m0n2yy0fqhe7zdn0445xbpa8	2643251	Machynlleth	52.58965	-3.85308	2235	PPL
plc_01m0n2yy0fqhe7zdn045qznq57	2643259	Machen	51.59599	-3.1419	2362	PPL
plc_01m0n2yy0fqhe7zdn048rpa7e1	2643262	Macduff	57.67012	-2.49686	4030	PPL
plc_01m0n2yy0fqhe7zdn04bpff69r	2643266	Macclesfield	53.26023	-2.12564	54345	PPL
plc_01m0n2yy0fqhe7zdn04emv4kg3	2643269	Mablethorpe	53.3409	0.26102	12531	PPL
plc_01m0n2yy0fqhe7zdn04er720sn	2643276	Lytchett Matravers	50.75826	-2.07806	3315	PPL
plc_01m0n2yy0fqhe7zdn04ffcs6jf	2643281	Lyonshall	52.19802	-2.97467	521	PPL
plc_01m0n2yy0fqhe7zdn04k19b7ms	2643285	Lynton	51.22968	-3.84131	1157	PPL
plc_01m0n2yy0fqhe7zdn04q0w788k	2643286	Lynsted	51.31224	0.78638	619	PPL
plc_01m0n2yy0fqhe7zdn04qtpj0d3	2643293	Lyng	52.71667	1.06667	807	PPL
plc_01m0n2yy0fqhe7zdn04qzq6d99	2643298	Lyneham	51.51667	-1.96667	5437	PPL
plc_01m0n2yy0fqhe7zdn04sw2xfdz	2643304	Lyndhurst	50.87259	-1.57662	2347	PPL
plc_01m0n2yy0fqhe7zdn04w79zb8q	2643306	Lympstone	50.64751	-3.43162	1763	PPL
plc_01m0n2yy0fqhe7zdn04yh5qxs1	2643307	Lympsham	51.28389	-2.95417	618	PPL
plc_01m0n2yy0fqhe7zdn050zyemmh	2643308	Lympne	51.07773	1.02808	1704	PPL
plc_01m0n2yy0fqhe7zdn052as63ws	2643309	Lymm	53.38105	-2.47763	11608	PPLA3
plc_01m0n2yy0fqhe7zdn05694kbw0	2643312	Lymington	50.75916	-1.53828	14858	PPL
plc_01m0n2yy0fqhe7zdn056mtx8m1	2643313	Lyminge	51.12951	1.08896	1948	PPL
plc_01m0n2yy0fqhe7zdn057yzfzde	2643314	Lyme Regis	50.72654	-2.93477	4712	PPL
plc_01m0n2yy0fqhe7zdn058fdxp6g	2643318	Lydney	51.72598	-2.52605	8776	PPL
plc_01m0n2yy0fqhe7zdn058tp2trh	2643322	Lydiard Millicent	51.57117	-1.86346	1029	PPL
plc_01m0n2yy0fqhe7zdn05ccsrg81	2643326	Lydden	51.16304	1.23536	673	PPL
plc_01m0n2yy0fqhe7zdn05ef22v4z	2643327	Lydd	50.95132	0.90654	3889	PPL
plc_01m0n2yy0fqhe7zdn05jd4db9n	2643329	Lydbrook	51.83763	-2.57818	1894	PPL
plc_01m0n2yy0fqhe7zdn05ka9rwg3	2643335	Lutton	52.80837	0.12497	779	PPL
plc_01m0n2yy0fqhe7zdn05kge9129	2643337	Lutterworth	52.45634	-1.20218	9907	PPL
plc_01m0n2yy0fqhe7zdn05q5krk68	2643339	Luton	51.87967	-0.41748	225262	PPLA2
plc_01m0n2yy0fqhe7zdn05qnar3a9	2643343	Luston	52.26402	-2.75406	541	PPL
plc_01m0n2yy0fqhe7zdn05szphgbh	2643385	Lundin Links	56.21399	-2.95173	2124	PPL
plc_01m0n2yy0fqhe7zdn05x910cp9	2643391	Luncarty	56.45308	-3.47007	1680	PPL
plc_01m0n2yy0fqhe7zdn05yt8h3zx	2643398	Lumphanan	57.12655	-2.68839	550	PPL
plc_01m0n2yy0fqhe7zdn05ywb3k87	2643411	Lugwardine	52.06583	-2.6578	1913	PPL
plc_01m0n2yy0fqhe7zdn05zcns57b	2643425	Ludlow	52.37431	-2.71311	10515	PPL
plc_01m0n2yy0fqhe7zdn0632bfm69	2643426	Ludham	52.70991	1.53603	979	PPL
plc_01m0n2yy0fqhe7zdn0653h2ad2	2643429	Ludgershall	51.25558	-1.6222	4427	PPL
plc_01m0n2yy0fqhe7zdn0658sgkzn	2643437	Luddenden Foot	53.71873	-1.94582	2190	PPL
plc_01m0n2yy0fqhe7zdn065fvmgpt	2643443	Luckington	51.55444	-2.24222	630	PPLA3
plc_01m0n2yy0fqhe7zdn066ndqsy4	2643451	Lubenham	52.4799	-0.96438	781	PPL
plc_01m0n2yy0fqhe7zdn066xqx3wg	2643461	Loxwood	51.07781	-0.51872	956	PPL
plc_01m0n2yy0fqhe7zdn06ab5rqa6	2643488	Low Etherley	54.65349	-1.74315	1929	PPL
plc_01m0n2yy0fqhe7zdn06c7fkscf	2643490	Lowestoft	52.47523	1.75167	71327	PPL
plc_01m0n2yy0fqhe7zdn06cjgtt08	2643512	Lower Kingswood	51.26968	-0.2123	1760	PPL
plc_01m0n2yy0fqhe7zdn06cshbq6g	2643519	Lower Halstow	51.37395	0.66819	1180	PPL
plc_01m0n2yy0fqhe7zdn06e1xbd4j	2643534	Lower Brailes	52.05034	-1.54176	1027	PPL
plc_01m0n2yy0fqhe7zdn06g3drv46	2643543	Lowdham	53.01205	-1.00483	2234	PPL
plc_01m0n2yy0fqhe7zdn06j8prmse	2643545	Lowca	54.58072	-3.56987	888	PPL
plc_01m0n2yy0fqhe7zdn06kbnwhpc	2643546	Low Bradley	53.93217	-1.99646	1244	PPL
plc_01m0n2yy0fqhe7zdn06nx4adcp	2643548	Low Ackworth	53.65023	-1.32334	1500	PPL
plc_01m0n2yy0fqhe7zdn06qjj3a1g	2643553	Louth	53.36664	-0.00438	17382	PPL
plc_01m0n2yy0fqhe7zdn06t6es0b5	2643556	Loughton	52.43333	-2.56667	33346	PPL
plc_01m0n2yy0fqhe7zdn06wa47bz9	2643567	Loughborough	52.76667	-1.2	64884	PPL
plc_01m0n2yy0fqhe7zdn06z1pj3wc	2643570	Loudwater	51.61073	-0.70153	4170	PPL
plc_01m0n2yy0fqhe7zdn07179c10y	2643583	Lostwithiel	50.40784	-4.67023	2659	PPL
plc_01m0n2yy0fqhe7zdn072ntg7e1	2643587	Lossiemouth	57.72136	-3.28341	6840	PPL
plc_01m0n2yy0fqhe7zdn075488tqt	2643611	Longworth	51.69139	-1.43754	566	PPL
plc_01m0n2yy0fqhe7zdn077ceamx8	2643613	Long Wittenham	51.64098	-1.21184	876	PPL
plc_01m0n2yy0fqhe7zdn079qpv51g	2643614	Longwick	51.73607	-0.85676	1143	PPL
plc_01m0n2yy0fqhe7zdn07avj5899	2643615	Long Whatton	52.80577	-1.28506	1124	PPL
plc_01m0n2yy0fqhe7zdn07bcd3drh	2643617	Longtown	55.00925	-2.96722	3000	PPL
plc_01m0n2yy0fqhe7zdn07ed6a8b6	2643618	Longtown	51.95	-2.98333	2064	PPLA3
plc_01m0n2yy0fqhe7zdn07f9hgr7k	2643620	Longton	52.98333	-2.13333	27214	PPL
plc_01m0n2yy0fqhe7zdn07hw3hfzh	2643625	Long Sutton	51.21978	-0.94293	4633	PPL
plc_01m0n2yy0fqhe7zdn07j0817ga	2643628	Long Stratton	52.48803	1.23478	4434	PPL
plc_01m0n2yy0fqhe7zdn07mcaz936	2643634	Longstanton	52.28076	0.04558	2294	PPL
plc_01m0n2yy0fqhe7zdn07mpesj2t	2643636	Longside	57.51731	-1.93976	960	PPL
plc_01m0n2yy0fqhe7zdn07qg643ek	2643643	Long Riston	53.865	-0.28895	979	PPL
plc_01m0n2yy0fqhe7zdn07rd0fb7w	2643646	Longridge	53.83212	-2.59964	7526	PPL
